run,sorting_function,time_taken
1,qs1,0.016999483108520508
1,qs2,0.023999929428100586
1,qs3,0.024000167846679688
1,qs4,0.023999691009521484
1,qs5,0.02300095558166504
1,merge1,0.024999380111694336
1,partition_sort,0.011000394821166992
2,qs1,0.016999483108520508
2,qs2,0.025000333786010742
2,qs3,0.02599930763244629
2,qs4,0.026000261306762695
2,qs5,0.021999835968017578
2,merge1,0.025999784469604492
2,partition_sort,0.01100015640258789
3,qs1,0.01699995994567871
3,qs2,0.023999929428100586
3,qs3,0.023999929428100586
3,qs4,0.023999929428100586
3,qs5,0.023000001907348633
3,merge1,0.0260007381439209
3,partition_sort,0.010999441146850586
4,qs1,0.016000032424926758
4,qs2,0.024000167846679688
4,qs3,0.024999618530273438
4,qs4,0.025000572204589844
4,qs5,0.023000001907348633
4,merge1,0.024999618530273438
4,partition_sort,0.011999845504760742
5,qs1,0.017000198364257812
5,qs2,0.025000333786010742
5,qs3,0.024999141693115234
5,qs4,0.025000572204589844
5,qs5,0.021999835968017578
5,merge1,0.026000022888183594
5,partition_sort,0.010999917984008789
6,qs1,0.01703500747680664
6,qs2,0.023964881896972656
6,qs3,0.023999929428100586
6,qs4,0.026000022888183594
6,qs5,0.02200007438659668
6,merge1,0.02500009536743164
6,partition_sort,0.012038230895996094
7,qs1,0.01696157455444336
7,qs2,0.023999929428100586
7,qs3,0.024999618530273438
7,qs4,0.025000572204589844
7,qs5,0.022000551223754883
7,merge1,0.024998903274536133
7,partition_sort,0.011999845504760742
8,qs1,0.017000198364257812
8,qs2,0.023999929428100586
8,qs3,0.024999618530273438
8,qs4,0.024033784866333008
8,qs5,0.023966312408447266
8,merge1,0.02499985694885254
8,partition_sort,0.012000083923339844
9,qs1,0.016000032424926758
9,qs2,0.02400040626525879
9,qs3,0.024999141693115234
9,qs4,0.025000572204589844
9,qs5,0.02299976348876953
9,merge1,0.024999618530273438
9,partition_sort,0.012000322341918945
10,qs1,0.017000675201416016
10,qs2,0.02399921417236328
10,qs3,0.025000333786010742
10,qs4,0.026999711990356445
10,qs5,0.022999286651611328
10,merge1,0.025000810623168945
